algorithm,final_objective_mean,final_objective_std,recovery_error_mean,recovery_error_std,nnz_mean,nnz_std,iterations_mean,iterations_std,runtime_mean,runtime_std
ADMM,0.8074866655722959,0.2005771040551387,0.37136330318272204,0.08883058231074692,19.2,4.604345773288536,61.0,2.8284271247461903,0.01566039999961504,0.000958831296493888
FISTA,0.8074866655973327,0.2005771040241623,0.371365722193671,0.08883277613786376,19.2,4.604345773288536,221.2,37.758442764499705,0.007214480000402546,0.002036742074098888
ISTA,0.8074866656221946,0.20057710406073767,0.37137046531633777,0.08883194304874066,19.4,4.615192303685731,221.0,36.36619309193636,0.005859980000241194,0.0011107481259268691
Subgradient,0.8686878118736153,0.265667401893341,0.7990932785902068,0.35197003986471725,200.0,0.0,500.0,0.0,0.013055059999169316,0.0023913067185714286
