rho,final_objective,recovery_error,nnz,iterations,runtime,final_primal_res,final_dual_res
0.1,0.5549977289140361,0.38950424076129503,17,500,0.10796409999966272,2.7076969297270305e-06,1.892334674881591e-09
0.5,0.5549977289135656,0.3895043203224564,17,114,0.022562900001503294,9.805708543904677e-07,1.5997927510389002e-08
1.0,0.5549977289135823,0.38950431024762083,17,59,0.013064400001894683,8.558263692232162e-07,7.197724934505254e-08
2.0,0.55499772891424,0.38950421036740684,17,63,0.013306699998793192,2.419394661407432e-07,8.875380834478353e-07
5.0,0.5549977289147398,0.3895042035224397,17,172,0.04149099999995087,3.0616375568520585e-08,9.388715356416805e-07
10.0,0.5549977289149042,0.3895042050228035,17,342,0.07401000000027125,7.801511237242016e-09,9.8039738931177e-07
