experiment,algorithm,final_objective,recovery_error,nnz,iterations,runtime,support_ok,primal_res,dual_res,lambda,rho,final_primal_res,final_dual_res,final_objective_mean,final_objective_std,recovery_error_mean,recovery_error_std,nnz_mean,nnz_std,iterations_mean,iterations_std,runtime_mean,runtime_std,train_mse,test_mse
repeat_experiment,FISTA,,,,,,,,,,,,,0.8074866655973327,0.2005771040241623,0.371365722193671,0.08883277613786376,19.2,4.604345773288536,221.2,37.758442764499705,0.007214480000402546,0.002036742074098888,,
repeat_experiment,ISTA,,,,,,,,,,,,,0.8074866656221946,0.20057710406073767,0.37137046531633777,0.08883194304874066,19.4,4.615192303685731,221.0,36.36619309193636,0.005859980000241194,0.0011107481259268691,,
repeat_experiment,Subgradient,,,,,,,,,,,,,0.8686878118736153,0.265667401893341,0.7990932785902068,0.35197003986471725,200.0,0.0,500.0,0.0,0.013055059999169316,0.0023913067185714286,,
sklearn_compare,Subgradient,0.5626384668697574,0.4249329063547063,200.0,,,,,,,,,,,,,,,,,,,,,
sklearn_compare,ISTA,0.5549977289627483,0.3895035909053641,17.0,,,,,,,,,,,,,,,,,,,,,
sklearn_compare,FISTA,0.554997728938143,0.3895074354444918,17.0,,,,,,,,,,,,,,,,,,,,,
sklearn_compare,ADMM,0.5549977289135823,0.38950431024762083,17.0,,,,,,,,,,,,,,,,,,,,,
sklearn_compare,sklearn_Lasso,0.5549977289135041,0.38950436941459865,17.0,,,,,,,,,,,,,,,,,,,,,
real_diabetes,Subgradient,,,10.0,500.0,0.008742400001210626,,,,,,,,,,,,,,,,,,0.47632615924247623,0.47453950553964286
real_diabetes,ISTA,,,10.0,500.0,0.008798399998340756,,,,,,,,,,,,,,,,,,0.4727152547387775,0.47554498216862673
real_diabetes,FISTA,,,10.0,500.0,0.009916899998643203,,,,,,,,,,,,,,,,,,0.47210897053502376,0.4766761444329591
real_diabetes,ADMM,,,10.0,11.0,0.0003054000007978175,,,,,,,,,,,,,,,,,,0.47211424602440283,0.47664169236877774
real_wine_red,Subgradient,,,11.0,500.0,0.011849899998196634,,,,,,,,,,,,,,,,,,0.652123122025759,0.5992221453221982
real_wine_red,ISTA,,,11.0,373.0,0.008937999999034218,,,,,,,,,,,,,,,,,,0.6520075504860962,0.5995330712493848
real_wine_red,FISTA,,,11.0,213.0,0.005981700000120327,,,,,,,,,,,,,,,,,,0.6520075689243464,0.5995354146764698
real_wine_red,ADMM,,,11.0,12.0,0.0005177999992156401,,,,,,,,,,,,,,,,,,0.6520075555830789,0.5995337586380686
real_communities_crime,Subgradient,,,100.0,500.0,0.036975700000766665,,,,,,,,,,,,,,,,,,0.33155097736826905,0.3096590946474577
real_communities_crime,ISTA,,,100.0,500.0,0.034546899998531444,,,,,,,,,,,,,,,,,,0.30763668760733387,0.3133800740409207
real_communities_crime,FISTA,,,100.0,500.0,0.03144789999714703,,,,,,,,,,,,,,,,,,0.2993227851877232,0.3118680472458068
real_communities_crime,ADMM,,,99.0,86.0,0.007564200001070276,,,,,,,,,,,,,,,,,,0.2992614705916423,0.31131773297556
